label,text
2,I just finished my lunch.
0,@Henkuyinepu it's overrated 
0,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
2,The meeting will be held tomorrow.
2,The meeting will be held tomorrow.
0,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming
2,It is currently 3 PM in the afternoon.
2,The meeting will be held tomorrow.
0,I can't take this heat! It's like an oven in here. I feel sick nwo 
4,Feeling inspired and motivated to do my best.
0,@mykele sayyyy whaaaa? I wasn't invited... 
4,"Just got some amazing news, feeling grateful!"
2,This is a regular day with nothing special happening.
0,"@TracyDowds When an Xbox shows those three red lights, it means it's dead and needs to be fixed for a month at Microsoft HQ. "
0,Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..
0,"@otakusecret my reaction too  whoa, didn't see that coming"
4,Feeling inspired and motivated to do my best.
0,"@heidimontag I  dvr'd it and went to watch it, apparently the dish network went down SO I MISSED IT    I will have to catch a rerun!"
0,Back at work  @ John Muir Dr http://loopt.us/KoqAbg
4,"What a wonderful day, everything is going great."
2,I am reading a book right now.
4,Excited about the new opportunities coming my way.
2,"The weather is normal today, not too hot or cold."
2,This is a regular day with nothing special happening.
4,Had a fantastic time with my friends today.
4,Feeling inspired and motivated to do my best.
4,Had a fantastic time with my friends today.
0,is grouchy. and wants bmar 
0,sad day: manu out for the season 
0,missin' the boo 
2,Checking my emails before starting work.
4,I love how things are working out for me.
2,I just finished my lunch.
2,I am going to the store later.
2,"The weather is normal today, not too hot or cold."
4,Excited about the new opportunities coming my way.
0,"A king sized bed is nice but sad and lonely with no hubby, puppy, or kitty   I am over this whole conferenceing thing."
2,I am going to the store later.
0,@alejandralei i dont think i can cause its my cousins birthday party 
4,Had a fantastic time with my friends today.
4,Life is beautiful and full of joy.
4,"Smiling all day long, everything feels perfect."
4,Feeling inspired and motivated to do my best.
0,@daniela_95616 hahaa!! i just realized &quot;impune&quot; definitely isnt the word i wanted... dang. i'm so unclever. 
4,Excited about the new opportunities coming my way.
4,"Just got some amazing news, feeling grateful!"
0,Logging out. I need to study.... 
2,I need to buy groceries this weekend.
2,This is a regular day with nothing special happening.
0,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
2,I need to buy groceries this weekend.
0,Damm back to school tomorrow 
4,I love how things are working out for me.
2,I am reading a book right now.
4,Life is beautiful and full of joy.
4,"Smiling all day long, everything feels perfect."
2,The meeting will be held tomorrow.
4,I am feeling so happy today!
4,"Just got some amazing news, feeling grateful!"
0,is in the bathroom... wake up lakin. 
4,I am feeling so happy today!
4,"Smiling all day long, everything feels perfect."
2,I am reading a book right now.
4,This is the best moment of my life.
2,I just finished my lunch.
0,@ITS_NEMESIS ------- 
2,"The weather is normal today, not too hot or cold."
0,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
4,"Just got some amazing news, feeling grateful!"
2,I need to buy groceries this weekend.
4,Excited about the new opportunities coming my way.
2,I just finished my lunch.
2,It is currently 3 PM in the afternoon.
0,gross i have a pimple 
4,Had a fantastic time with my friends today.
4,"Smiling all day long, everything feels perfect."
2,This is a regular day with nothing special happening.
4,This is the best moment of my life.
2,"The weather is normal today, not too hot or cold."
4,"Just got some amazing news, feeling grateful!"
0,i feel sick  too much icecream
4,"What a wonderful day, everything is going great."
4,Had a fantastic time with my friends today.
4,Life is beautiful and full of joy.
4,"Smiling all day long, everything feels perfect."
2,I am reading a book right now.
0,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
0,@michaeltao man america is so .. borez anyway lol i just realized you sent me msgs on here. i had no idea. i have no flash 
0,i might break down and eat some buffalo wings tomorrow 
4,"Just got some amazing news, feeling grateful!"
2,Checking my emails before starting work.
2,I just finished my lunch.
2,I need to buy groceries this weekend.
4,"Smiling all day long, everything feels perfect."
0,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
2,The meeting will be held tomorrow.
0,michigan state you make me sad 
4,"What a wonderful day, everything is going great."
4,Excited about the new opportunities coming my way.
0,just leaving the parking lot of work! 
